Date,Prediction,Actual,Current_Time,predictionAdjusted,actualAdjusted,predictionDiff,actualDiff,ComparisonResult
2024-03-11,5178.14208984375,5117.93994140625,,5134.97509765625,5149.419921875,-43.1669921875,31.47998046875,Inactive
2024-03-12,5170.09619140625,5175.27001953125,,5395.703125,5178.509765625,225.60693359375,3.23974609375,True
2024-03-13,5148.7724609375,5165.31005859375,,5166.33837890625,5224.6201171875,17.56591796875,59.31005859375,True
2024-03-14,5216.86962890625,5150.47998046875,,5091.15234375,5241.52978515625,-125.71728515625,91.0498046875,Inactive
2024-03-15,5134.640625,5117.08984375,,5160.84716796875,5234.18017578125,26.20654296875,117.09033203125,True
2024-03-18,5056.06591796875,5149.419921875,,5178.14208984375,5218.18994140625,122.076171875,68.77001953125,True
2024-03-19,5271.916015625,5178.509765625,,5170.09619140625,5203.580078125,-101.81982421875,25.0703125,Inactive
2024-03-20,5169.830078125,5224.6201171875,,5148.7724609375,5248.490234375,-21.0576171875,23.8701171875,Inactive
2024-03-21,5216.77880859375,5241.52978515625,,5216.86962890625,5254.35009765625,0.0908203125,12.8203125,True
2024-03-22,5211.45703125,5234.18017578125,,5134.640625,5254.35009765625,-76.81640625,20.169921875,Inactive
2024-03-25,5220.8447265625,5218.18994140625,,5056.06591796875,5243.77001953125,-164.77880859375,25.580078125,Inactive
2024-03-26,5182.18017578125,5203.580078125,,5271.916015625,5205.81005859375,89.73583984375,2.22998046875,True
2024-03-27,5225.25390625,5248.490234375,,5169.830078125,5211.490234375,-55.423828125,-37.0,True
2024-03-28,5208.52880859375,5254.35009765625,2024-11-21 00:44:31,5216.77880859375,5147.2099609375,8.25,-107.14013671875,False
2024-03-28,5215.40576171875,5254.35009765625,2024-11-21 00:46:57,5211.45703125,5204.33984375,-3.94873046875,-50.01025390625,True
2024-04-01,5221.7177734375,5243.77001953125,2024-11-21 00:49:21,5220.8447265625,5202.39013671875,-0.873046875,-41.3798828125,True
2024-04-02,5278.62060546875,5205.81005859375,2024-11-21 00:51:46,5182.18017578125,5209.91015625,-96.4404296875,4.10009765625,Inactive
2024-04-03,5260.47509765625,5211.490234375,2024-11-21 00:54:10,5225.25390625,5160.64013671875,-35.22119140625,-50.85009765625,True
2024-04-04,5252.44677734375,5147.2099609375,2024-11-21 00:56:35,5208.52880859375,5199.06005859375,-43.91796875,51.85009765625,Inactive
2024-04-05,5159.85595703125,5204.33984375,2024-11-21 00:58:59,5215.40576171875,5123.41015625,55.5498046875,-80.9296875,False
2024-04-08,5228.806640625,5202.39013671875,2024-11-21 01:01:20,5221.7177734375,5061.81982421875,-7.0888671875,-140.5703125,True
2024-04-09,5207.39404296875,5209.91015625,2024-11-21 01:03:44,5278.62060546875,5051.41015625,71.2265625,-158.5,False
2024-04-10,5214.203125,5160.64013671875,2024-11-21 01:06:10,5260.47509765625,5022.2099609375,46.27197265625,-138.43017578125,False
2024-04-11,5188.65869140625,5199.06005859375,2024-11-21 01:08:35,5252.44677734375,5011.1201171875,63.7880859375,-187.93994140625,False
2024-04-12,5223.03369140625,5123.41015625,2024-11-21 01:11:02,5159.85595703125,4967.22998046875,-63.177734375,-156.18017578125,True
2024-04-15,5161.865234375,5061.81982421875,2024-11-21 01:13:25,5228.806640625,5010.60009765625,66.94140625,-51.2197265625,False
2024-04-16,5149.33203125,5051.41015625,2024-11-21 01:15:49,5207.39404296875,5070.5498046875,58.06201171875,19.1396484375,True
2024-04-17,5067.31884765625,5022.2099609375,2024-11-21 01:18:15,5214.203125,5071.6298828125,146.88427734375,49.419921875,True
2024-04-18,4972.7294921875,5011.1201171875,2024-11-21 01:20:39,5188.65869140625,5048.419921875,215.92919921875,37.2998046875,True
2024-04-19,5008.41259765625,4967.22998046875,2024-11-21 01:23:03,5223.03369140625,5099.9599609375,214.62109375,132.72998046875,True
2024-04-22,5047.4541015625,5010.60009765625,2024-11-21 01:25:26,5161.865234375,5116.169921875,114.4111328125,105.56982421875,True
2024-04-23,4963.86181640625,5070.5498046875,2024-11-21 01:27:51,5149.33203125,5035.68994140625,185.47021484375,-34.85986328125,False
2024-04-24,5085.865234375,5071.6298828125,2024-11-21 01:30:15,5067.31884765625,5018.39013671875,-18.54638671875,-53.23974609375,True
2024-04-25,5086.59130859375,5048.419921875,2024-11-21 01:32:41,4972.7294921875,5064.2001953125,-113.86181640625,15.7802734375,Inactive
2024-04-26,5009.04150390625,5099.9599609375,2024-11-21 01:35:06,5008.41259765625,5127.7900390625,-0.62890625,27.830078125,Inactive
2024-04-29,5069.82421875,5116.169921875,2024-11-21 01:37:32,5047.4541015625,5180.740234375,-22.3701171875,64.5703125,Inactive
2024-04-30,5096.55615234375,5035.68994140625,2024-11-21 01:39:56,4963.86181640625,5187.7001953125,-132.6943359375,152.01025390625,Inactive
2024-05-01,5000.642578125,5018.39013671875,2024-11-21 01:42:21,5085.865234375,5187.669921875,85.22265625,169.27978515625,True
2024-05-02,5026.3427734375,5064.2001953125,2024-11-21 01:44:45,5086.59130859375,5214.080078125,60.24853515625,149.8798828125,True
2024-05-03,5009.41552734375,5127.7900390625,2024-11-21 01:47:09,5009.04150390625,5222.68017578125,-0.3740234375,94.89013671875,Inactive
2024-05-06,5095.28564453125,5180.740234375,2024-11-21 01:49:33,5069.82421875,5221.419921875,-25.46142578125,40.6796875,Inactive
2024-05-07,5149.24267578125,5187.7001953125,2024-11-21 01:51:56,5096.55615234375,5246.68017578125,-52.6865234375,58.97998046875,Inactive
2024-05-08,5147.27392578125,5187.669921875,2024-11-21 01:54:21,5000.642578125,5308.14990234375,-146.63134765625,120.47998046875,Inactive
2024-05-09,5186.53564453125,5214.080078125,2024-11-21 01:56:44,5026.3427734375,5297.10009765625,-160.19287109375,83.02001953125,Inactive
2024-05-10,5189.423828125,5222.68017578125,2024-11-21 01:59:11,5009.41552734375,5303.27001953125,-180.00830078125,80.58984375,Inactive
2024-05-13,5149.92333984375,5221.419921875,2024-11-21 02:01:34,5095.28564453125,5308.1298828125,-54.6376953125,86.7099609375,Inactive
2024-05-14,5243.6357421875,5246.68017578125,2024-11-21 02:03:59,5149.24267578125,5321.41015625,-94.39306640625,74.72998046875,Inactive
2024-05-15,5254.02783203125,5308.14990234375,2024-11-21 02:06:22,5147.27392578125,5307.009765625,-106.75390625,-1.14013671875,True
2024-05-16,5319.9013671875,5297.10009765625,2024-11-21 02:08:46,5186.53564453125,5267.83984375,-133.36572265625,-29.26025390625,True
2024-05-17,5302.75,5303.27001953125,2024-11-21 02:11:11,5189.423828125,5304.72021484375,-113.326171875,1.4501953125,Inactive
2024-05-20,5300.8486328125,5308.1298828125,2024-11-21 02:13:36,5149.92333984375,5304.72021484375,-150.92529296875,-3.40966796875,True
2024-05-21,5414.21337890625,5321.41015625,2024-11-21 02:16:02,5243.6357421875,5306.0400390625,-170.57763671875,-15.3701171875,True
