Date,Prediction,Actual,Current_Time
2024-03-05,63748.926,63801.19921875,
2024-03-06,64819.77,66106.8046875,
2024-03-07,58631.38,66925.484375,
2024-03-08,56714.59,68300.09375,
2024-03-09,61429.484,68498.8828125,
2024-03-12,60600.16,71481.2890625,
2024-03-13,62883.54,73083.5,
2024-03-14,65693.68,71396.59375,
2024-03-15,63418.344,69403.7734375,
2024-03-16,60651.84,65315.1171875,
2024-03-19,64052.027,61912.7734375,
2024-03-20,61589.746,67913.671875,
2024-03-21,65926.85,65491.390625,
2024-03-22,67648.484,63778.76171875,
2024-03-23,64321.043,64062.203125,
2024-03-26,68199.555,69987.8359375,
2024-03-27,66750.84,69455.34375,
2024-03-28,69787.66,70744.953125,
2024-03-29,66184.51,69892.828125,
2024-03-30,65021.613,69645.3046875,
2024-04-02,64851.4,65446.97265625,
2024-04-03,62290.46,65980.8125,
2024-04-04,60319.883,68508.84375,
2024-04-05,65099.297,67837.640625,
2024-04-06,67473.336,68896.109375,
2024-04-09,71565.5,69139.015625,
2024-04-10,65629.36,70587.8828125,
2024-04-11,70964.57,70060.609375,
2024-04-12,70912.38,67195.8671875,
2024-04-13,67871.3,63821.47265625,
2024-04-16,67262.12,63811.86328125,
2024-04-17,64084.93,61276.69140625,
2024-04-18,60866.902,63512.75390625,
2024-04-19,61649.305,63843.5703125,
2024-04-20,60963.516,64994.44140625,
2024-04-23,68167.96,66407.2734375,
2024-04-24,67153.5,64276.8984375,
2024-04-25,59362.07,64481.70703125,
2024-04-26,62732.816,63755.3203125,
2024-04-27,60867.258,63419.140625,
2024-04-30,58744.38,60636.85546875,
2024-05-01,64676.25,58254.01171875,
2024-05-02,57330.004,59123.43359375,
2024-05-03,59910.25,62889.8359375,
2024-05-04,59287.793,63891.47265625,
2024-05-07,59551.31,62334.81640625,
2024-05-08,57624.793,61187.94140625,
2024-05-09,55711.805,63049.9609375,
2024-05-10,54189.55,60792.77734375,
2024-05-11,59110.312,60793.7109375,2025-01-21 14:04:12
